	name	Serial_result	Serial_memory	Serial_runtime
81	circuit_32in64out_with_150gates_6in6out_dist256_seed1.sanitized.cnf	0	0.11106109619140625	3000.81
82	x9-10096.sat.sanitized.cnf	-1	0.03142547607421875	167.85
83	rbsat-v760c43649gyes3.cnf	0	0.05609893798828125	2999.85
84	shuffling-2-s25242449-of-bench-sat04-727.used-as.sat04-753.cnf	1	0.2600593566894531	45.87
85	stb_418_125.apx_1_DC-AD.cnf	-1	0.0698089599609375	1554.64
86	stb_588_138.apx_1_DC-AD.cnf	-1	0.054485321044921875	806.96
87	linked_list_swap_contents_safety_unwind80.cnf	0	1.9251861572265625	25.93
88	noL-11-20.sanitized.cnf	1	0.0350494384765625	147.1
89	mrpp_4x4#12_12.cnf	-1	0.0115203857421875	14.57
90	frb65-12-2.used-as.sat04-874.cnf	1	0.012416839599609375	22.79
91	pcmax-scheduling-m19-2974-16501-UNSAT.sanitized.cnf	-1	0.0380859375	100.22
92	af-synthesis_stb_50_40_9_unsat.cnf	-1	0.04021453857421875	2161.31
93	noL-11-8.sanitized.cnf	1	0.0334930419921875	234.9
94	T105.2.0.cnf	-1	1.667449951171875	527.08
95	jgiraldezlevy.2200.9086.08.40.41.cnf	1	0.007717132568359375	10.82
96	pcmax-scheduling-m19-10199-62102-UNSAT.sanitized.cnf	0	0.1024932861328125	2995.39
97	Timetable_C_392_E_62_Cl_26_S_28.cnf	1	0.20691680908203125	60.46
98	linked_list_swap_contents_safety_unwind65.cnf	-1	1.5724029541015625	153.76
99	x9-12001.sat.sanitized.cnf	1	0.033237457275390625	235.28
100	REGRandom-K4-L3-Seed40.sanitized.cnf	0	1.3099403381347656	2995.75
101	1-ZC-512-K-63.sanitized.cnf	0	0.08865737915039062	3000.81
102	REGRandom-K3-L3-Seed25.sanitized.cnf	-1	0.056301116943359375	2.38
103	x9-11034.sat.sanitized.cnf	1	0.007709503173828125	20.41
104	simon-r16-1.sanitized.cnf	1	0.002849578857421875	0.0
105	af-synthesis_stb_50_200_4_unsat.cnf	-1	0.07104110717773438	516.89
106	x9-09057.sat.sanitized.cnf	-1	0.010753631591796875	46.18
107	x9-10051.sat.sanitized.cnf	-1	0.0347900390625	258.01
108	linked_list_swap_contents_safety_unwind54.cnf	-1	1.1721878051757812	109.48
109	clique_n2_k10.sanitized.cnf	-1	0.010784149169921875	18.51
110	j3037_10_mdd_b.cnf	1	0.019786834716796875	25.94
111	marg5x5.shuffled-as.sat03-1455.cnf	0	0.04698944091796875	3000.89
112	lec_mult_DvK_12x12.sanitized.cnf	0	0.0276947021484375	3000.88
113	Break_unsat_18_31.xml.cnf	0	0.10382080078125	3000.83
114	pcmax-scheduling-m37-28831-324346-SAT.sanitized.cnf	0	0.15189361572265625	2998.61
115	lec_mult_CvW_12x12.sanitized.cnf	0	0.08792877197265625	3000.88
116	pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf	-1	0.023555755615234375	171.52
117	rbsat-v945c61409gyes9-sc2009.cnf	1	0.024158477783203125	45.45
118	lec_mult_CvW_12x11.sanitized.cnf	0	0.07452774047851562	2999.42
119	Break_08_24.xml.cnf	1	0.004611968994140625	0.16
120	stb_495_168.apx_2_DC-AD.cnf	-1	0.023052215576171875	231.57
121	x9-09076.sat.sanitized.cnf	-1	0.01129913330078125	39.9
122	stb_495_168.apx_1_DC-AD.cnf	-1	0.02176666259765625	293.55
123	simon-r19-1.sanitized.cnf	1	0.002925872802734375	0.01
124	rphp_p8_r160.sanitized.cnf	0	1.3020401000976562	3000.85
125	Folkman-190-66337703.sanitized.cnf	1	0.03985595703125	305.01
126	linked_list_swap_contents_safety_unwind45.cnf	-1	0.8966941833496094	95.13
127	pcmax-scheduling-m40-26287-324155-SAT.sanitized.cnf	0	0.10539627075195312	3000.86
128	asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf	-1	0.09235000610351562	744.21
129	128_75.sanitized.cnf	0	2.141864776611328	7.95
130	x9-11093.sat.sanitized.cnf	1	0.011844635009765625	53.29
